frequency_hz,piezo_volt_set,initial_ad5245_value,initial_ad5245_readback,initial_rms_a_v,ad5245_value,ad5245_readback,ad5245_iterations,raw_samples,filtered_samples,samples,mean_a_v,rms_a_v,ac_rms_a_v,min_a_v,max_a_v,mean_b_v,rms_b_v,ac_rms_b_v,min_b_v,max_b_v,status,error
95000,0.500000,1,1,0.529086,1,1,1,128,0,128,0.529085,0.529086,1.970916,0.526252,0.531136,0.220095,0.220098,2.279905,0.218559,0.222222,ok,
96000,0.500000,1,1,0.525424,1,1,1,128,0,128,0.525422,0.525424,1.974579,0.521368,0.528694,0.221669,0.221672,2.278331,0.219780,0.223443,ok,
97000,0.500000,1,1,0.519872,1,1,1,128,0,128,0.519870,0.519872,1.980131,0.516484,0.523810,0.221593,0.221596,2.278408,0.219780,0.223443,ok,
98000,0.500000,1,1,0.499754,3,3,3,128,0,128,0.500839,0.500841,1.999161,0.498168,0.504274,0.211271,0.211275,2.288729,0.208791,0.213675,ok,
99000,0.500000,1,1,0.481469,82,82,46,128,0,128,0.500258,0.500261,1.999743,0.495726,0.504274,0.211319,0.211322,2.288681,0.210012,0.213675,ok,
100000,0.500000,1,1,0.467045,110,110,20,128,0,128,0.500467,0.500471,1.999533,0.496947,0.504274,0.217138,0.217140,2.282862,0.214896,0.218559,ok,
101000,0.500000,1,1,0.453519,125,125,17,128,0,128,0.500305,0.500307,1.999695,0.496947,0.503053,0.221078,0.221079,2.278923,0.219780,0.223443,ok,
102000,0.500000,1,1,0.430495,142,142,16,128,0,128,0.500210,0.500211,1.999790,0.498168,0.503053,0.225723,0.225724,2.274277,0.224664,0.227106,ok,
103000,0.500000,1,1,0.425342,148,148,22,128,0,128,0.500973,0.500974,1.999027,0.498168,0.503053,0.226877,0.226878,2.273123,0.225885,0.228327,ok,
104000,0.500000,1,1,0.436624,142,142,25,128,0,128,0.500820,0.500821,1.999180,0.498168,0.503053,0.228966,0.228967,2.271034,0.228327,0.230769,ok,
105000,0.500000,1,1,0.442357,142,142,25,128,0,128,0.501135,0.501136,1.998865,0.499389,0.503053,0.230760,0.230761,2.269240,0.229548,0.231990,ok,
106000,0.500000,1,1,0.442062,146,146,20,128,0,128,0.500105,0.500106,1.999895,0.498168,0.501832,0.230035,0.230036,2.269965,0.229548,0.231990,ok,
107000,0.500000,1,1,0.444293,147,147,21,128,0,128,0.500420,0.500420,1.999580,0.499389,0.501832,0.227507,0.227508,2.272493,0.227106,0.228327,ok,
108000,0.500000,1,1,0.439877,152,152,26,128,0,128,0.500763,0.500764,1.999237,0.499389,0.503053,0.220076,0.220077,2.279924,0.219780,0.222222,ok,
109000,0.500000,1,1,0.433019,156,156,21,128,0,128,0.500238,0.500239,1.999762,0.498168,0.501832,0.212473,0.212474,2.287527,0.211233,0.213675,ok,
110000,0.500000,1,1,0.436986,150,150,24,128,0,128,0.502118,0.502120,1.997883,0.499389,0.504274,0.217062,0.217062,2.282938,0.216117,0.218559,ok,
111000,0.500000,1,1,0.440936,140,140,23,128,0,128,0.501421,0.501423,1.998579,0.498168,0.503053,0.221659,0.221660,2.278341,0.221001,0.223443,ok,
112000,0.500000,1,1,0.445648,135,135,18,128,0,128,0.501870,0.501870,1.998131,0.500611,0.504274,0.225599,0.225600,2.274401,0.224664,0.227106,ok,
113000,0.500000,1,1,0.452593,130,130,22,128,0,128,0.501269,0.501269,1.998731,0.499389,0.503053,0.227927,0.227928,2.272074,0.227106,0.229548,ok,
114000,0.500000,1,1,0.460586,117,117,27,128,0,128,0.500010,0.500010,1.999991,0.498168,0.501832,0.229739,0.229741,2.270261,0.228327,0.231990,ok,
115000,0.500000,1,1,0.461330,117,117,27,128,0,128,0.500324,0.500325,1.999676,0.498168,0.501832,0.231475,0.231476,2.268525,0.229548,0.233211,ok,
116000,0.500000,1,1,0.457019,126,126,27,128,0,128,0.500611,0.500611,1.999390,0.499389,0.501832,0.231675,0.231677,2.268325,0.230769,0.233211,ok,
117000,0.500000,1,1,0.449187,138,138,21,128,0,128,0.500229,0.500230,1.999771,0.498168,0.501832,0.230569,0.230570,2.269431,0.229548,0.231990,ok,
118000,0.500000,1,1,0.438646,153,153,27,128,0,128,0.500267,0.500268,1.999733,0.498168,0.501832,0.229405,0.229406,2.270595,0.228327,0.230769,ok,
119000,0.500000,1,1,0.427170,166,166,22,128,0,128,0.500582,0.500583,1.999418,0.499389,0.501832,0.228508,0.228509,2.271492,0.228327,0.229548,ok,
120000,0.500000,1,1,0.415991,177,177,24,128,0,128,0.501154,0.501155,1.998846,0.499389,0.501832,0.227879,0.227880,2.272121,0.227106,0.228327,ok,
