frequency_hz,ad5245_value,ad5245_readback,sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
95000,1,1,1,2.356517,1250,1.526252,-0.973748,2598,3.172161,0.672161,09 C4 14 4C
95000,1,1,2,2.356544,1249,1.525031,-0.974969,2598,3.172161,0.672161,09 C2 14 4C
95000,1,1,3,2.356547,1248,1.523810,-0.976190,2599,3.173382,0.673382,09 C0 14 4E
95000,1,1,4,2.356549,1249,1.525031,-0.974969,2599,3.173382,0.673382,09 C2 14 4E
95000,1,1,5,2.356551,1250,1.526252,-0.973748,2598,3.172161,0.672161,09 C4 14 4C
95000,1,1,6,2.356552,1250,1.526252,-0.973748,2598,3.172161,0.672161,09 C4 14 4C
95000,1,1,7,2.356554,1250,1.526252,-0.973748,2599,3.173382,0.673382,09 C4 14 4E
95000,1,1,8,2.356558,1250,1.526252,-0.973748,2598,3.172161,0.672161,09 C4 14 4C
95000,1,1,9,2.356560,1249,1.525031,-0.974969,2598,3.172161,0.672161,09 C2 14 4C
95000,1,1,10,2.356564,1248,1.523810,-0.976190,2599,3.173382,0.673382,09 C0 14 4E
95000,1,1,11,2.356565,1249,1.525031,-0.974969,2599,3.173382,0.673382,09 C2 14 4E
95000,1,1,12,2.356567,1250,1.526252,-0.973748,2598,3.172161,0.672161,09 C4 14 4C
95000,1,1,13,2.356569,1250,1.526252,-0.973748,2598,3.172161,0.672161,09 C4 14 4C
95000,1,1,14,2.356570,1250,1.526252,-0.973748,2599,3.173382,0.673382,09 C4 14 4E
95000,1,1,15,2.356572,1250,1.526252,-0.973748,2598,3.172161,0.672161,09 C4 14 4C
95000,1,1,16,2.356573,1250,1.526252,-0.973748,2598,3.172161,0.672161,09 C4 14 4C
95000,1,1,17,2.356575,1249,1.525031,-0.974969,2599,3.173382,0.673382,09 C2 14 4E
95000,1,1,18,2.356577,1249,1.525031,-0.974969,2599,3.173382,0.673382,09 C2 14 4E
95000,1,1,19,2.356578,1250,1.526252,-0.973748,2598,3.172161,0.672161,09 C4 14 4C
95000,1,1,20,2.356580,1250,1.526252,-0.973748,2598,3.172161,0.672161,09 C4 14 4C
95000,1,1,21,2.356581,1250,1.526252,-0.973748,2599,3.173382,0.673382,09 C4 14 4E
